Sample ID #	Tissue types	Replicates	Tree no.	Time points	Cultivar	Treatment 
P1T2_1J	Pulp	1	Tree2	Day 0	Jonathan	untreated
P1T3_1J	Pulp	1	Tree3	Day 0	Jonathan	untreated
P2T1_1J	Pulp	2	Tree1	Day 0	Jonathan	untreated
P2T2_1J	Pulp	2	Tree2	Day 0	Jonathan	untreated
P2T3_1J	Pulp	2	Tree3	Day 0	Jonathan	untreated
P3T1_1J	Pulp	3	Tree1	Day 0	Jonathan	untreated
P3T2_1J	Pulp	3	Tree2	Day 0	Jonathan	untreated
P3T3_1J	Pulp	3	Tree3	Day 0	Jonathan	untreated
P4T1_1J	Pulp	4	Tree1	Day 0	Jonathan	untreated
P4T2_1J	Pulp	4	Tree2	Day 0	Jonathan	untreated
P4T3_1J	Pulp	4	Tree3	Day 0	Jonathan	untreated
P5T1_1J	Pulp	5	Tree1	Day 0	Jonathan	untreated
P5T2_1J	Pulp	5	Tree2	Day 0	Jonathan	untreated
P5T3_1J	Pulp	5	Tree3	Day 0	Jonathan	untreated
S1T1_1J	Skin	1	Tree1	Day 0	Jonathan	untreated
S1T2_1J	Skin	1	Tree2	Day 0	Jonathan	untreated
S1T3_1J	Skin	1	Tree3	Day 0	Jonathan	untreated
S2T1_1J	Skin	2	Tree1	Day 0	Jonathan	untreated
S2T2_1J	Skin	2	Tree2	Day 0	Jonathan	untreated
S2T3_1J	Skin	2	Tree3	Day 0	Jonathan	untreated
S3T1_1J	Skin	3	Tree1	Day 0	Jonathan	untreated
S3T2_1J	Skin	3	Tree2	Day 0	Jonathan	untreated
S3T3_1J	Skin	3	Tree3	Day 0	Jonathan	untreated
S4T1_1J	Skin	4	Tree1	Day 0	Jonathan	untreated
S4T2_1J	Skin	4	Tree2	Day 0	Jonathan	untreated
S4T3_1J	Skin	4	Tree3	Day 0	Jonathan	untreated
S5T1_1J	Skin	5	Tree1	Day 0	Jonathan	untreated
S5T2_1J	Skin	5	Tree2	Day 0	Jonathan	untreated
S5T3_1J	Skin	5	Tree3	Day 0	Jonathan	untreated
P1T1_2ch	Pulp	1	Tree1	Day 20	Jonathan	Chitosan
P1T2_2ch	Pulp	1	Tree2	Day 20	Jonathan	Chitosan
P1T3_2ch	Pulp	1	Tree3	Day 20	Jonathan	Chitosan
P2T1_2ch	Pulp	2	Tree1	Day 20	Jonathan	Chitosan
P2T2_2ch	Pulp	2	Tree2	Day 20	Jonathan	Chitosan
P2T3_2ch	Pulp	2	Tree3	Day 20	Jonathan	Chitosan
P3T1_2ch	Pulp	3	Tree1	Day 20	Jonathan	Chitosan
P3T2_2ch	Pulp	3	Tree2	Day 20	Jonathan	Chitosan
P3T3_2ch	Pulp	3	Tree3	Day 20	Jonathan	Chitosan
S1T1_2ch	Skin	1	Tree1	Day 20	Jonathan	Chitosan
S1T2_2ch	Skin	1	Tree2	Day 20	Jonathan	Chitosan
S1T3_2ch	Skin	1	Tree3	Day 20	Jonathan	Chitosan
S2T1_2ch	Skin	2	Tree1	Day 20	Jonathan	Chitosan
S2T2_2ch	Skin	2	Tree2	Day 20	Jonathan	Chitosan
S2T3_2ch	Skin	2	Tree3	Day 20	Jonathan	Chitosan
S3T1_2ch	Skin	3	Tree1	Day 20	Jonathan	Chitosan
S3T2_2ch	Skin	3	Tree2	Day 20	Jonathan	Chitosan
S3T3_2ch	Skin	3	Tree3	Day 20	Jonathan	Chitosan
P1T1_2G	Pulp	1	Tree1	Day 10	Gala	untreated
P1T2_2G	Pulp	1	Tree2	Day 10	Gala	untreated
P1T3_2G	Pulp	1	Tree3	Day 10	Gala	untreated
P2T1_2G	Pulp	2	Tree1	Day 10	Gala	untreated
P2T2_2G	Pulp	2	Tree2	Day 10	Gala	untreated
P2T3_2G	Pulp	2	Tree3	Day 10	Gala	untreated
P3T1_2G	Pulp	3	Tree1	Day 10	Gala	untreated
P3T2_2G	Pulp	3	Tree2	Day 10	Gala	untreated
P3T3_2G	Pulp	3	Tree3	Day 10	Gala	untreated
P4T1_2G	Pulp	4	Tree1	Day 10	Gala	untreated
P4T2_2G	Pulp	4	Tree2	Day 10	Gala	untreated
P4T3_2G	Pulp	4	Tree3	Day 10	Gala	untreated
P5T1_2G	Pulp	5	Tree1	Day 10	Gala	untreated
P5T2_2G	Pulp	5	Tree2	Day 10	Gala	untreated
P5T3_2G	Pulp	5	Tree3	Day 10	Gala	untreated
S1T1_2G	Skin	1	Tree1	Day 10	Gala	untreated
S1T2_2G	Skin	1	Tree2	Day 10	Gala	untreated
S1T3_2G	Skin	1	Tree3	Day 10	Gala	untreated
S2T1_2G	Skin	2	Tree1	Day 10	Gala	untreated
S2T2_2G	Skin	2	Tree2	Day 10	Gala	untreated
S2T3_2G	Skin	2	Tree3	Day 10	Gala	untreated
S3T1_2G	Skin	3	Tree1	Day 10	Gala	untreated
S3T2_2G	Skin	3	Tree2	Day 10	Gala	untreated
S3T3_2G	Skin	3	Tree3	Day 10	Gala	untreated
S4T1_2G	Skin	4	Tree1	Day 10	Gala	untreated
S4T2_2G	Skin	4	Tree2	Day 10	Gala	untreated
S4T3_2G	Skin	4	Tree3	Day 10	Gala	untreated
S5T1_2G	Skin	5	Tree1	Day 10	Gala	untreated
S5T2_2G	Skin	5	Tree2	Day 10	Gala	untreated
S5T3_2G	Skin	5	Tree3	Day 10	Gala	untreated
P1T1_2J	Pulp	1	Tree1	Day 14	Jonathan	untreated
P1T2_2J	Pulp	1	Tree2	Day 14	Jonathan	untreated
P1T3_2J	Pulp	1	Tree3	Day 14	Jonathan	untreated
P2T1_2J	Pulp	2	Tree1	Day 14	Jonathan	untreated
P2T2_2J	Pulp	2	Tree2	Day 14	Jonathan	untreated
P2T3_2J	Pulp	2	Tree3	Day 14	Jonathan	untreated
P3T1_2J	Pulp	3	Tree1	Day 14	Jonathan	untreated
P3T2_2J	Pulp	3	Tree2	Day 14	Jonathan	untreated
P3T3_2J	Pulp	3	Tree3	Day 14	Jonathan	untreated
P4T1_2J	Pulp	4	Tree1	Day 14	Jonathan	untreated
P4T2_2J	Pulp	4	Tree2	Day 14	Jonathan	untreated
P4T3_2J	Pulp	4	Tree3	Day 14	Jonathan	untreated
P5T1_2J	Pulp	5	Tree1	Day 14	Jonathan	untreated
P5T2_2J	Pulp	5	Tree2	Day 14	Jonathan	untreated
P5T3_2J	Pulp	5	Tree3	Day 14	Jonathan	untreated
S1T1_2J	Skin	1	Tree1	Day 14	Jonathan	untreated
S1T2_2J	Skin	1	Tree2	Day 14	Jonathan	untreated
S1T3_2J	Skin	1	Tree3	Day 14	Jonathan	untreated
S2T1_2J	Skin	2	Tree1	Day 14	Jonathan	untreated
S2T2_2J	Skin	2	Tree2	Day 14	Jonathan	untreated
S2T3_2J	Skin	2	Tree3	Day 14	Jonathan	untreated
S3T1_2J	Skin	3	Tree1	Day 14	Jonathan	untreated
S3T2_2J	Skin	3	Tree2	Day 14	Jonathan	untreated
S3T3_2J	Skin	3	Tree3	Day 14	Jonathan	untreated
S4T1_2J	Skin	4	Tree1	Day 14	Jonathan	untreated
S4T2_2J	Skin	4	Tree2	Day 14	Jonathan	untreated
S4T3_2J	Skin	4	Tree3	Day 14	Jonathan	untreated
S5T1_2J	Skin	5	Tree1	Day 14	Jonathan	untreated
S5T2_2J	Skin	5	Tree2	Day 14	Jonathan	untreated
S5T3_2J	Skin	5	Tree3	Day 14	Jonathan	untreated
P1T1_2M	Pulp	1	Tree1	Day 20	Jonathan	Mock
P1T2_2M	Pulp	1	Tree2	Day 20	Jonathan	Mock
P1T3_2M	Pulp	1	Tree3	Day 20	Jonathan	Mock
P2T1_2M	Pulp	2	Tree1	Day 20	Jonathan	Mock
P2T2_2M	Pulp	2	Tree2	Day 20	Jonathan	Mock
P2T3_2M	Pulp	2	Tree3	Day 20	Jonathan	Mock
P3T1_2M	Pulp	3	Tree1	Day 20	Jonathan	Mock
P3T2_2M	Pulp	3	Tree2	Day 20	Jonathan	Mock
P3T3_2M	Pulp	3	Tree3	Day 20	Jonathan	Mock
S1T1_2M	Skin	1	Tree1	Day 20	Jonathan	Mock
S1T2_2M	Skin	1	Tree2	Day 20	Jonathan	Mock
S1T3_2M	Skin	1	Tree3	Day 20	Jonathan	Mock
S2T1_2M	Skin	2	Tree1	Day 20	Jonathan	Mock
S2T2_2M	Skin	2	Tree2	Day 20	Jonathan	Mock
S2T3_2M	Skin	2	Tree3	Day 20	Jonathan	Mock
S3T1_2M	Skin	3	Tree1	Day 20	Jonathan	Mock
S3T2_2M	Skin	3	Tree2	Day 20	Jonathan	Mock
S3T3_2M	Skin	3	Tree3	Day 20	Jonathan	Mock
P1T1_3ch	Pulp	1	Tree1	Day 33	Jonathan	Chitosanitosan
P1T2_3ch	Pulp	1	Tree2	Day 33	Jonathan	Chitosanitosan
P1T3_3ch	Pulp	1	Tree3	Day 33	Jonathan	Chitosanitosan
P2T1_3ch	Pulp	2	Tree1	Day 33	Jonathan	Chitosanitosan
P2T2_3ch	Pulp	2	Tree2	Day 33	Jonathan	Chitosanitosan
P2T3_3ch	Pulp	2	Tree3	Day 33	Jonathan	Chitosanitosan
P3T1_3ch	Pulp	3	Tree1	Day 33	Jonathan	Chitosanitosan
P3T2_3ch	Pulp	3	Tree2	Day 33	Jonathan	Chitosanitosan
P3T3_3ch	Pulp	3	Tree3	Day 33	Jonathan	Chitosanitosan
S1T1_3ch	Skin	1	Tree1	Day 33	Jonathan	Chitosanitosan
S1T2_3ch	Skin	1	Tree2	Day 33	Jonathan	Chitosanitosan
S1T3_3ch	Skin	1	Tree3	Day 33	Jonathan	Chitosanitosan
S2T1_3ch	Skin	2	Tree1	Day 33	Jonathan	Chitosanitosan
S2T2_3ch	Skin	2	Tree2	Day 33	Jonathan	Chitosanitosan
S2T3_3ch	Skin	2	Tree3	Day 33	Jonathan	Chitosanitosan
S3T1_3ch	Skin	3	Tree1	Day 33	Jonathan	Chitosanitosan
S3T2_3ch	Skin	3	Tree2	Day 33	Jonathan	Chitosanitosan
S3T3_3ch	Skin	3	Tree3	Day 33	Jonathan	Chitosanitosan
P1T1_3G	Pulp	1	Tree1	Day 28	Gala	untreated
P1T2_3G	Pulp	1	Tree2	Day 28	Gala	untreated
P1T3_3G	Pulp	1	Tree3	Day 28	Gala	untreated
P2T1_3G	Pulp	2	Tree1	Day 28	Gala	untreated
P2T2_3G	Pulp	2	Tree2	Day 28	Gala	untreated
P2T3_3G	Pulp	2	Tree3	Day 28	Gala	untreated
P3T1_3G	Pulp	3	Tree1	Day 28	Gala	untreated
P3T2_3G	Pulp	3	Tree2	Day 28	Gala	untreated
P3T3_3G	Pulp	3	Tree3	Day 28	Gala	untreated
P4T1_3G	Pulp	4	Tree1	Day 28	Gala	untreated
P4T2_3G	Pulp	4	Tree2	Day 28	Gala	untreated
P4T3_3G	Pulp	4	Tree3	Day 28	Gala	untreated
P5T1_3G	Pulp	5	Tree1	Day 28	Gala	untreated
P5T2_3G	Pulp	5	Tree2	Day 28	Gala	untreated
P5T3_3G	Pulp	5	Tree3	Day 28	Gala	untreated
S1T1_3G	Skin	1	Tree1	Day 28	Gala	untreated
S1T2_3G	Skin	1	Tree2	Day 28	Gala	untreated
S1T3_3G	Skin	1	Tree3	Day 28	Gala	untreated
S2T1_3G	Skin	2	Tree1	Day 28	Gala	untreated
S2T2_3G	Skin	2	Tree2	Day 28	Gala	untreated
S2T3_3G	Skin	2	Tree3	Day 28	Gala	untreated
S3T1_3G	Skin	3	Tree1	Day 28	Gala	untreated
S3T2_3G	Skin	3	Tree2	Day 28	Gala	untreated
S3T3_3G	Skin	3	Tree3	Day 28	Gala	untreated
S4T1_3G	Skin	4	Tree1	Day 28	Gala	untreated
S4T2_3G	Skin	4	Tree2	Day 28	Gala	untreated
S4T3_3G	Skin	4	Tree3	Day 28	Gala	untreated
S5T1_3G	Skin	5	Tree1	Day 28	Gala	untreated
S5T2_3G	Skin	5	Tree2	Day 28	Gala	untreated
S5T3_3G	Skin	5	Tree3	Day 28	Gala	untreated
P1T1_3J	Pulp	1	Tree1	Day 28	Jonathan	untreated
P1T2_3J	Pulp	1	Tree2	Day 28	Jonathan	untreated
P1T3_3J	Pulp	1	Tree3	Day 28	Jonathan	untreated
P2T1_3J	Pulp	2	Tree1	Day 28	Jonathan	untreated
P2T2_3J	Pulp	2	Tree2	Day 28	Jonathan	untreated
P2T3_3J	Pulp	2	Tree3	Day 28	Jonathan	untreated
P3T1_3J	Pulp	3	Tree1	Day 28	Jonathan	untreated
P3T2_3J	Pulp	3	Tree2	Day 28	Jonathan	untreated
P3T3_3J	Pulp	3	Tree3	Day 28	Jonathan	untreated
P4T1_3J	Pulp	4	Tree1	Day 28	Jonathan	untreated
P4T2_3J	Pulp	4	Tree2	Day 28	Jonathan	untreated
P4T3_3J	Pulp	4	Tree3	Day 28	Jonathan	untreated
P5T1_3J	Pulp	5	Tree1	Day 28	Jonathan	untreated
P5T2_3J	Pulp	5	Tree2	Day 28	Jonathan	untreated
P5T3_3J	Pulp	5	Tree3	Day 28	Jonathan	untreated
S1T1_3J	Skin	1	Tree1	Day 28	Jonathan	untreated
S1T2_3J	Skin	1	Tree2	Day 28	Jonathan	untreated
S1T3_3J	Skin	1	Tree3	Day 28	Jonathan	untreated
S2T1_3J	Skin	2	Tree1	Day 28	Jonathan	untreated
S2T2_3J	Skin	2	Tree2	Day 28	Jonathan	untreated
S2T3_3J	Skin	2	Tree3	Day 28	Jonathan	untreated
S3T1_3J	Skin	3	Tree1	Day 28	Jonathan	untreated
S3T2_3J	Skin	3	Tree2	Day 28	Jonathan	untreated
S3T3_3J	Skin	3	Tree3	Day 28	Jonathan	untreated
S4T1_3J	Skin	4	Tree1	Day 28	Jonathan	untreated
S4T2_3J	Skin	4	Tree2	Day 28	Jonathan	untreated
S4T3_3J	Skin	4	Tree3	Day 28	Jonathan	untreated
S5T1_3J	Skin	5	Tree1	Day 28	Jonathan	untreated
S5T2_3J	Skin	5	Tree2	Day 28	Jonathan	untreated
S5T3_3J	Skin	5	Tree3	Day 28	Jonathan	untreated
P1T1_3M	Pulp	1	Tree1	Day 33	Jonathan	Mock
P1T2_3M	Pulp	1	Tree2	Day 33	Jonathan	Mock
P1T3_3M	Pulp	1	Tree3	Day 33	Jonathan	Mock
P2T1_3M	Pulp	2	Tree1	Day 33	Jonathan	Mock
P2T2_3M	Pulp	2	Tree2	Day 33	Jonathan	Mock
P2T3_3M	Pulp	2	Tree3	Day 33	Jonathan	Mock
P3T1_3M	Pulp	3	Tree1	Day 33	Jonathan	Mock
P3T2_3M	Pulp	3	Tree2	Day 33	Jonathan	Mock
P3T3_3M	Pulp	3	Tree3	Day 33	Jonathan	Mock
S1T1_3M	Skin	1	Tree1	Day 33	Jonathan	Mock
S1T2_3M	Skin	1	Tree2	Day 33	Jonathan	Mock
S1T3_3M	Skin	1	Tree3	Day 33	Jonathan	Mock
S2T1_3M	Skin	2	Tree1	Day 33	Jonathan	Mock
S2T2_3M	Skin	2	Tree2	Day 33	Jonathan	Mock
S2T3_3M	Skin	2	Tree3	Day 33	Jonathan	Mock
S3T1_3M	Skin	3	Tree1	Day 33	Jonathan	Mock
S3T2_3M	Skin	3	Tree2	Day 33	Jonathan	Mock
S3T3_3M	Skin	3	Tree3	Day 33	Jonathan	Mock
P1T1_4G	Pulp	1	Tree1	Day 42	Gala	untreated
P1T2_4G	Pulp	1	Tree2	Day 42	Gala	untreated
P1T3_4G	Pulp	1	Tree3	Day 42	Gala	untreated
P2T1_4G	Pulp	2	Tree1	Day 42	Gala	untreated
P2T2_4G	Pulp	2	Tree2	Day 42	Gala	untreated
P2T3_4G	Pulp	2	Tree3	Day 42	Gala	untreated
P3T1_4G	Pulp	3	Tree1	Day 42	Gala	untreated
P3T2_4G	Pulp	3	Tree2	Day 42	Gala	untreated
P3T3_4G	Pulp	3	Tree3	Day 42	Gala	untreated
P4T1_4G	Pulp	4	Tree1	Day 42	Gala	untreated
P4T2_4G	Pulp	4	Tree2	Day 42	Gala	untreated
P4T3_4G	Pulp	4	Tree3	Day 42	Gala	untreated
P5T1_4G	Pulp	5	Tree1	Day 42	Gala	untreated
P5T2_4G	Pulp	5	Tree2	Day 42	Gala	untreated
P5T3_4G	Pulp	5	Tree3	Day 42	Gala	untreated
S1T1_4G	Skin	1	Tree1	Day 42	Gala	untreated
S1T2_4G	Skin	1	Tree2	Day 42	Gala	untreated
S1T3_4G	Skin	1	Tree3	Day 42	Gala	untreated
S2T1_4G	Skin	2	Tree1	Day 42	Gala	untreated
S2T2_4G	Skin	2	Tree2	Day 42	Gala	untreated
S2T3_4G	Skin	2	Tree3	Day 42	Gala	untreated
S3T1_4G	Skin	3	Tree1	Day 42	Gala	untreated
S3T2_4G	Skin	3	Tree2	Day 42	Gala	untreated
S3T3_4G	Skin	3	Tree3	Day 42	Gala	untreated
S4T1_4G	Skin	4	Tree1	Day 42	Gala	untreated
S4T2_4G	Skin	4	Tree2	Day 42	Gala	untreated
S4T3_4G	Skin	4	Tree3	Day 42	Gala	untreated
S5T1_4G	Skin	5	Tree1	Day 42	Gala	untreated
S5T2_4G	Skin	5	Tree2	Day 42	Gala	untreated
S5T3_4G	Skin	5	Tree3	Day 42	Gala	untreated
P1T1_4J	Pulp	1	Tree1	Day 42	Jonathan	untreated
P1T2_4J	Pulp	1	Tree2	Day 42	Jonathan	untreated
P1T3_4J	Pulp	1	Tree3	Day 42	Jonathan	untreated
P2T1_4J	Pulp	2	Tree1	Day 42	Jonathan	untreated
P2T2_4J	Pulp	2	Tree2	Day 42	Jonathan	untreated
P2T3_4J	Pulp	2	Tree3	Day 42	Jonathan	untreated
P3T1_4J	Pulp	3	Tree1	Day 42	Jonathan	untreated
P3T2_4J	Pulp	3	Tree2	Day 42	Jonathan	untreated
P3T3_4J	Pulp	3	Tree3	Day 42	Jonathan	untreated
P4T1_4J	Pulp	4	Tree1	Day 42	Jonathan	untreated
P4T2_4J	Pulp	4	Tree2	Day 42	Jonathan	untreated
P4T3_4J	Pulp	4	Tree3	Day 42	Jonathan	untreated
P5T1_4J	Pulp	5	Tree1	Day 42	Jonathan	untreated
P5T2_4J	Pulp	5	Tree2	Day 42	Jonathan	untreated
P5T3_4J	Pulp	5	Tree3	Day 42	Jonathan	untreated
S1T1_4J	Skin	1	Tree1	Day 42	Jonathan	untreated
S1T2_4J	Skin	1	Tree2	Day 42	Jonathan	untreated
S1T3_4J	Skin	1	Tree3	Day 42	Jonathan	untreated
S2T1_4J	Skin	2	Tree1	Day 42	Jonathan	untreated
S2T2_4J	Skin	2	Tree2	Day 42	Jonathan	untreated
S2T3_4J	Skin	2	Tree3	Day 42	Jonathan	untreated
S3T1_4J	Skin	3	Tree1	Day 42	Jonathan	untreated
S3T2_4J	Skin	3	Tree2	Day 42	Jonathan	untreated
S3T3_4J	Skin	3	Tree3	Day 42	Jonathan	untreated
S4T1_4J	Skin	4	Tree1	Day 42	Jonathan	untreated
S4T2_4J	Skin	4	Tree2	Day 42	Jonathan	untreated
S4T3_4J	Skin	4	Tree3	Day 42	Jonathan	untreated
S5T1_4J	Skin	5	Tree1	Day 42	Jonathan	untreated
S5T2_4J	Skin	5	Tree2	Day 42	Jonathan	untreated
S5T3_4J	Skin	5	Tree3	Day 42	Jonathan	untreated
P1_C1_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P2_C1_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P3_C1_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P4_C1_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P5_C1_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P1_C2_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P2_C2_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P3_C2_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P4_C2_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P5_C2_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P1_C3_T2	Pulp	0	Tree 4	Day 17	Mac	Phage
P2_C3_T3	Pulp	0	Tree 4	Day 17	Mac	Phage
P3_C3_T4	Pulp	0	Tree 4	Day 17	Mac	Phage
P4_C3_T1	Pulp	0	Tree 4	Day 17	Mac	Phage
P5_C3_T2	Pulp	0	Tree 4	Day 17	Mac	Phage
RP1_G	Pulp	1	NA	Day 98	Gala	untreated
RP2_G	Pulp	2	NA	Day 98	Gala	untreated
RP3_G	Pulp	3	NA	Day 98	Gala	untreated
RS1_G	Skin	1	NA	Day 98	Gala	untreated
RS2_G	Skin	2	NA	Day 98	Gala	untreated
RS3_G	Skin	3	NA	Day 98	Gala	untreated
RP1_J	Pulp	1	NA	Day 77	Jonathan	untreated
RP2_J	Pulp	2	NA	Day 77	Jonathan	untreated
RP3_J	Pulp	3	NA	Day 77	Jonathan	untreated
RP4_J	Pulp	4	NA	Day 77	Jonathan	untreated
RP5_J	Pulp	5	NA	Day 77	Jonathan	untreated
RS1_J	Skin	1	NA	Day 77	Jonathan	untreated
RS2_J	Skin	2	NA	Day 77	Jonathan	untreated
RS3_J	Skin	3	NA	Day 77	Jonathan	untreated
RS4_J	Skin	4	NA	Day 77	Jonathan	untreated
RS5_J	Skin	5	NA	Day 77	Jonathan	untreated
