OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
2bfacb3a3cd2448ffab10976b92d7046	Unassigned						
0da400738282b5f61521247fd4fcbbaf	Eukaryota	 Basidiomycota	 Tremellomycetes	 Tremellales	 Bulleribasidiaceae	 Vishniacozyma	 uncultured_Basidiomycota
c2d5b1fe7e78d3d6f19b77c071c5c0f8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	
b1dde0ed7ab1f036845b5643cfaa699e	Bacteria	 Actinobacteriota	 Actinobacteria	 Kineosporiales	 Kineosporiaceae	 Kineococcus	
4d03e6ffcbfc3eb7c5a4bbbee611902f	Bacteria						
4d3b8f92a6ac8bbb70433af8d45fd584	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Peptostreptococcales-Tissierellales	 Anaerococcus	
c0f775fff77049501c4f8b4f5460097c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Cupriavidus	
67fffd31e40c5859edbd4e74dd2223d8	Bacteria						
a28de96a5b9e7d7aba385c063309be45	Bacteria						
e5c19d7800b18015f3a917fc015fc42f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Enhydrobacter	
f7c1fdd23c09aadca0633028765caa5b	Unassigned						
23620e81538019f85c727ec1791df244	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter_galii
5d5db5a4b1cb701462bfd0989f5a3495	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae	 Tepidimonas	
7825b2d324666e03f6432d54c1dbd455	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Morganellaceae	 Buchnera	
36ce67b3fecce277df99829617975495	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Rothia	
3b00dbe5c60e8051a17ef075c80262a8	Unassigned						
6b95c7f30f187cde1443834375576cc0	Bacteria						
91d3e89d07d3d42f243742b050140bbb	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Massilia	
19840c984340a7006c77cfd3573e6a00	Bacteria	 Proteobacteria	 Gammaproteobacteria				
83035c847987fb3271f776c38e77b78f	Bacteria						
08f53a95e0d714c0237e6a75078ff29b	Unassigned						
8612a638846acf832935cb932a1f0398	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Weeksellaceae	 Cloacibacterium	
7a65fd074e8ba1522664a4de341904dd	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Spirosomaceae	 Spirosoma	
e166afb28dc7d02ad14c2c5e8d0ec59a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Morganellaceae	 Arsenophonus	
ef8cf39ab4e4dcda9e450098785170dd	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 uncultured_bacterium
0c579d21280801f02a641e1608606927	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Micrococcus	
2db986df84cbd5e25df5b35ded879d36	Unassigned						
9c0de7908dd6ef3d536b42d9e11e0779	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae		
a23b3a0149b2b351b0fa5be606e42253	Bacteria	 Abditibacteriota	 Abditibacteria	 Abditibacteriales	 Abditibacteriaceae	 Abditibacterium	 uncultured_organism
a731a884c1dd97bea23959222bf9f9c0	Unassigned						
33295f1846cff2bf9c88e15798fbc91d	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Anoxybacillus	
6d01fc68a6865fce6a080106fff19bfc	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
de68ebfc2f017e2dd2615115e3073d50	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cardiobacteriales	 Wohlfahrtiimonadaceae	 Koukoulia	 Koukoulia_aurantiaca
f32490b8845851fe9be12251653f85f3	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	 Microbacteriaceae		
066cedc506389990d745ea9c1404ce73	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium-Methylorubrum	
428e4a80a1e14a59d72810a32f62f434	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
b509368c1a23a2287d0f8db2e4f3f556	Unassigned						
d9d610c4aac9b818acebdfe575642842	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
27e6235c00cd8347027b830d9069457f	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 uncultured_bacterium
294a53cb340b669c7784e1ee7e1fe864	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	
c87a2ef0523bf10d944f583fa016f47c	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Peptostreptococcales-Tissierellales	 Anaerococcus	
455d5df301a24f622afa6b217592d5a1	Unassigned						
886813d6c66ef41ef648c9b92ffde619	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	
cab9c2dede8b1866af3018ce8048f053	Eukaryota	 Basidiomycota	 Tremellomycetes	 Tremellales			
36aebba06265134f439d64305ffc1cd4	Unassigned						
3ebe761bfb1238c87195d431f41bf976	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	
85ac83daa78930e71ceff45dcd61ee12	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium-Methylorubrum	 Methylobacterium_organophilum
ba437bbfa9f0c445629e8206dac159b0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 Sclerotinia_borealis
146195f72933e590d98b89c38d6eda33	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	 Geodermatophilaceae	 Klenkia	
397100f7bd0388a89b9cf5bbb5b9ac92	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
4da9036fd69a0fe8430f212b8f0e4a22	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae		
4f5efd25dacb5d639316e7291ff6ff8b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Neisseriaceae	 Neisseria	
65cb9e65b49759d4a34bd58cc21e93bb	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	
6ea8228cb56f8a62f932f0e613bca40e	Bacteria	 Firmicutes	 Bacilli	 Thermicanales	 Thermicanaceae	 Thermicanus	 uncultured_bacterium
864267f12bedace19272af56224498c7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Neisseriaceae	 uncultured	 uncultured_bacterium
8b109488d043f18953974eccc1afa718	Bacteria	 Myxococcota	 Myxococcia	 Myxococcales	 Myxococcaceae	 P3OB-42	
912f795ef3617aeb65ff9ad69b9567a8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	
